FITNESSZONE CADUCIDADES 25/26,,,,,,,,,,,,,,
,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,,-46.143,#N/A,,#N/A
LA FILA DE ARRIBA ES LA QUE TIENE LAS FORMULAS CORRECTAS PARA USAR EL LECTOR- COPIA DE AHI PARA INTRODUCIR NUEVAS FILAS,,,,,,,,,,,,,,
UBI,CODIGO,SKU,PRODUCTO,MARCA,TIPO,COSTE,UDS,COSTE TOTAL,FECHA,FECHA MES,DIAS,ESTADO,OBSERVACIONES,TAGS
LR,8594046796222,2798-3,Tigger Crunchy Protein Bar 60 Gr Mazapán,Amix Nutrition,Barritas & Snacks,"1,20",38,"45,60",30/04/2026,abr-2026,-1,EN RIESGO,,#N/A
LR,8594060004419,1346-2,Exclusive Protein Bar 85 Gr 1 Ud Chocolate Blanco - Coco,Amix Nutrition,Barritas & Snacks,"1,34",3,"4,02",30/04/2026,abr-2026,-1,VENDIDO,,"+vendidos, 10IVA, AMIX, Barritas, Barritas y Snacks, Comida Saludable, Endurance, Fit Food, Más Energía"
CL,8594060004419,1346-2,Exclusive Protein Bar 85 Gr 1 Ud Chocolate Blanco - Coco,Amix Nutrition,Barritas & Snacks,"1,34",6,"8,04",30/04/2026,abr-2026,-1,VENDIDO,,"+vendidos, 10IVA, AMIX, Barritas, Barritas y Snacks, Comida Saludable, Endurance, Fit Food, Más Energía"
LR,8436594157400,1437,Rice Meal 350 Gr,Vitobest,Comida Fitness,"3,26",1,"3,26",30/04/2026,abr-2026,-1,VIGENTE,,"0 kg - 1 kg, 10IVA, 65-80gr, < 3 kg, Arroz, Carbohidratos, Comida Saludable, Con carbohidratos, Desayunos Fit, Fit Food, Ganar músculo, Masticable, Más Energía, Recuperación, Sin gluten, Sin lactosa"
AL,8437012636293,1599,Higos deshidratados Bio 1 Kg,BioArtesa,Comida Fitness,"7,20",2,"14,40",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Alimentos orgánicos, Barritas y Snacks, Comida Saludable, Desayunos Fit, Fit Food, Frutos secos semillas y deshidratados, Higos, Sin gluten, Sin lactosa"
AL,3700110058218,2722,Café de especialidad Colombia 180 Gr,Destination,Comida Fitness,"4,77",3,"14,31",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Alimentos orgánicos, Cafeína, Café, Con estimulantes, Energizantes, Más Energía, Otros alimentos BIO, Polvo, Salud, Salud y Bienestar"
AL,3700110058232,2721,Café de Especialidad Guatemala Bio 180 Gr,Destination,Comida Fitness,"4,77",2,"9,54",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Alimentos orgánicos, Cafeína, Café, Con estimulantes, Energizantes, Más Energía, Otros alimentos BIO, Polvo, Salud, Salud y Bienestar"
LR,3700110058232,2721,Café de Especialidad Guatemala Bio 180 Gr,Destination,Comida Fitness,"4,77",1,"4,77",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Alimentos orgánicos, Cafeína, Café, Con estimulantes, Energizantes, Más Energía, Otros alimentos BIO, Polvo, Salud, Salud y Bienestar"
CL,3700110058232,2721,Café de Especialidad Guatemala Bio 180 Gr,Destination,Comida Fitness,"4,77",1,"4,77",30/04/2026,abr-2026,-1,VENDIDO,ALBERTO,"10IVA, Alimentos orgánicos, Cafeína, Café, Con estimulantes, Energizantes, Más Energía, Otros alimentos BIO, Polvo, Salud, Salud y Bienestar"
CL,8436621083351,2353-1,Mc Mani Peanut Butter 1000 Gr,Max Protein,Comida Fitness,"8,79",1,"8,79",30/04/2026,abr-2026,-1,VENDIDO,,#N/A
AL,8436568405803,2733,Dátiles Medjoul Bio 2 Kg,BioArtesa,Comida Fitness,"27,32",2,"54,63",30/04/2026,abr-2026,-1,VENDIDO,,#N/A
AL,8437015531632,1598,Arándanos deshidratados Bio 100 Gr,BioArtesa,Comida Fitness,"2,35",2,"4,71",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Alimentos orgánicos, Arándanos, Barritas y Snacks, Comida Saludable, Desayunos Fit, Fit Food, Frutos secos semillas y deshidratados, Sin gluten, Sin lactosa"
3C,8437014456196,1649-5,"Instant Oatmeal 1,9 Kg Chocolate Blanco - Fresa",Perfect Nutrition,Avena / Arroz,"6,88",2,"13,76",30/04/2026,abr-2026,-1,VENDIDO,,"+vistos, 0-20gr, 1.01 kg - 2 kg, 10IVA, 4-8gr, 50-64gr, AMAZON.AUMENTO.2.99, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo"
AL,8436621084938,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,30/04/2026,abr-2026,-1,VENDIDO,Real Arachidonic Acid 120 Ml,#N/A
AL,8437015531168,1488,Higos deshidratados Bio 250 Gr,BioArtesa,Comida Fitness,"2,33",1,"2,33",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Alimentos orgánicos, Barritas y Snacks, Comida Saludable, Desayunos Fit, Fit Food, Frutos secos semillas y deshidratados, Higos, PRODUCTOCL, Sin gluten, Sin lactosa"
3C,8437015531137,1487,Mango deshidratado Bio 100 Gr,BioArtesa,Comida Fitness,"2,22",1,"2,22",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Alimentos orgánicos, Barritas y Snacks, Comida Saludable, Desayunos Fit, Fit Food, Frutos secos semillas y deshidratados, Mango, PRODUCTOCL, Sin gluten, Sin lactosa"
CL,8437014456134,1202-1,Gourmet Fit Peanut Butter + Protein sabores 1 Kg Chocolate,Perfect Nutrition,Comida Fitness,"7,98",2,"15,96",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Comida Saludable, Cremas Frutos Secos, Desayunos Fit, Fit Food, Keto, PRODUCTOCL, Salsas cremas y siropes, Sin gluten"
LR,8437014456134,1202-1,Gourmet Fit Peanut Butter + Protein sabores 1 Kg Chocolate,Perfect Nutrition,Comida Fitness,"7,98",2,"15,96",30/04/2026,abr-2026,-1,VIGENTE,,"10IVA, Comida Saludable, Cremas Frutos Secos, Desayunos Fit, Fit Food, Keto, PRODUCTOCL, Salsas cremas y siropes, Sin gluten"
AL,8437014456417,1202-2,Gourmet Fit Peanut Butter + Protein sabores 1 Kg Galleta,Perfect Nutrition,Comida Fitness,"7,98",2,"15,96",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Comida Saludable, Cremas Frutos Secos, Desayunos Fit, Fit Food, Keto, PRODUCTOCL, Salsas cremas y siropes, Sin gluten"
AL,8413412209985,2459-4,Sirope Vitadulce 400 Ml Fresa,Vitadulce,Comida Fitness,"4,20",1,"4,20",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Comida Saludable, Desayunos Fit, Fit Food, Keto, Salsas cremas y siropes, Sin gluten, Sin lactosa"
AL,8422584048919,1241,Bolitas Quinoa con Agave y Cacao Bio 300 Gr,El Granero,Comida Fitness,"4,23",4,"16,90",30/04/2026,abr-2026,-1,VENDIDO,,"0-20gr, 04IVA, 10IVA, 4-8gr, 65-80gr, Alimentos orgánicos, Cereales BIO, Comida Saludable, Desayunos Fit, Fit Food, Masticable, Quinoa, Sin lactosa"
AL,8594046796406,1721-2,Creatine Monohydrate Drink 360 Gr Cola,Amix Nutrition,Creatina,"15,24",1,"15,24",30/04/2026,abr-2026,-1,VENDIDO,,"0-4gr, 10IVA, AMAZON.AUMENTO.1.99, AMIX, Creatina, Ganar músculo, LOWCOST, Monohidrato, Polvo"
AL,857401005154,#N/A,,#N/A,#N/A,#N/A,1,#N/A,30/04/2026,abr-2026,-1,VENDIDO,CR5 Ultrapure 1Kg STARLABS,#N/A
AL,5601607078604,2001-3,Creatine Monohydrate 200 Gr Red Fruits,Gold Nutrition,Creatina,"6,96",1,"6,96",30/04/2026,abr-2026,-1,VENDIDO,,"0-4gr, 10IVA, AMAZON.AUMENTO.4.99, Creatina, Ganar músculo, Monohidrato, Polvo"
AL,8436567350203,2778-2,Energy Gel Bio 25 Gr 100 Mg Caffeine Stick Forest Fruits,226ERS,Preentreno / Precursores,"1,44",40,"57,60",30/04/2026,abr-2026,-1,EN RIESGO,"Cuando acabe el mes, si no se ha vendido avisamos a ers y lo recogen",
AL,8437015531137,1487,Mango deshidratado Bio 100 Gr,BioArtesa,Comida Fitness,"2,22",2,"4,44",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Alimentos orgánicos, Barritas y Snacks, Comida Saludable, Desayunos Fit, Fit Food, Frutos secos semillas y deshidratados, Mango, PRODUCTOCL, Sin gluten, Sin lactosa"
AL,8425252159580,2089-2,Nitrospeed 350 Gr Candy Raspberry,BIG,Preentreno / Precursores,"19,58",1,"19,58",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Arginina, Beta alanina, Cafeína, Citrulina, Con estimulantes, Energizantes, Más Energía, Pre-Entrenos, Selenio, Taurina, Vitamina B12, Vitamina B3, Vitamina B6, Vitamina C"
AL,8436567354973,2155-4,Box Race Day Bar Bcaas 6 X 40 Gr Plátano y Jengibre,226ERS,Barritas & Snacks,"7,81",4,"31,24",30/04/2026,abr-2026,-1,VENDIDO,,#N/A
AL,8436567354744,2594-1,High Energy Gel Bcaas 76 Gr Naranja,226ERS,Preentreno / Precursores,"2,11",22,"46,42",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Bcaa, Ciclodextrina, Con carbohidratos, Endurance, Energizantes, Gel, Maltodextrina, Más Energía, Pre-Entrenos, Recuperación, Sin cafeína, Sin estimulantes, Sodio"
CL,8436540530141,#N/A,,#N/A,#N/A,#N/A,2,#N/A,30/04/2026,abr-2026,-1,VENDIDO,Choco Cream by Torreblanca 1 Kg ,#N/A
3C,8436540530141,#N/A,,#N/A,#N/A,#N/A,1,#N/A,30/04/2026,abr-2026,-1,VENDIDO,Choco Cream by Torreblanca 1 Kg ,#N/A
LR,8436540530141,#N/A,,#N/A,#N/A,#N/A,1,#N/A,30/04/2026,abr-2026,-1,#N/A,Choco Cream by Torreblanca 1 Kg ,#N/A
CL,8436540532688,618-8,Harina de avena 1 Kg Sabores Vitobest Tiramisú,Vitobest,Avena / Arroz,"4,00",1,"4,00",30/04/2026,abr-2026,-1,VENDIDO,,"+vistos, 0 kg - 1 kg, 0-20gr, 10IVA, 4-8gr, 50-64gr, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, LOWCOST, Polvo"
AL,8436540537515,618-2,Harina de avena 1 Kg Sabores Vitobest Vainilla,Vitobest,Avena / Arroz,"4,00",6,"24,00",30/04/2026,abr-2026,-1,VENDIDO,,"+vistos, 0 kg - 1 kg, 0-20gr, 10IVA, 4-8gr, 50-64gr, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, LOWCOST, Polvo"
LR,8436540537515,618-2,Harina de avena 1 Kg Sabores Vitobest Vainilla,Vitobest,Avena / Arroz,"4,00",2,"8,00",30/04/2026,abr-2026,-1,VENDIDO,,"+vistos, 0 kg - 1 kg, 0-20gr, 10IVA, 4-8gr, 50-64gr, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, LOWCOST, Polvo"
LR,8436540537515,618-2,Harina de avena 1 Kg Sabores Vitobest Vainilla,Vitobest,Avena / Arroz,"4,00",2,"8,00",30/04/2026,abr-2026,-1,VENDIDO,,"+vistos, 0 kg - 1 kg, 0-20gr, 10IVA, 4-8gr, 50-64gr, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, LOWCOST, Polvo"
CL,8437014456059,1649-2,"Instant Oatmeal 1,9 Kg Chocolate bombón",Perfect Nutrition,Avena / Arroz,"6,88",1,"6,88",27/05/2026,may-2026,26,VENDIDO,,"+vistos, 0-20gr, 1.01 kg - 2 kg, 10IVA, 4-8gr, 50-64gr, AMAZON.AUMENTO.2.99, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo"
AL,8422584048735,733-1,Harina De Avena Integral Bio 1 Kg,El Granero,Avena / Arroz,"3,30",13,"42,90",30/04/2026,abr-2026,-1,VENDIDO,,"0 kg - 1 kg, 0-20gr, 04IVA, 10IVA, 4-8gr, 50-64gr, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo, Sin lactosa"
AL,8425252000677,426-1,"Good Morning Instant Oatmeal 1,5 Kg Bombón Crocante",Max Protein,Avena / Arroz,"6,22",2,"12,44",30/04/2026,abr-2026,-1,VENDIDO,,"+vistos, 0-20gr, 10IVA, 4-8gr, 50-64gr, AMAZON.AUMENTO.7.99, Avena, Carbohidratos, Comida Saludable, DECATHLON.AUMENTO.0.99, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo"
CL,8425252000677,426-1,"Good Morning Instant Oatmeal 1,5 Kg Bombón Crocante",Max Protein,Avena / Arroz,"6,22",1,"6,22",30/04/2026,abr-2026,-1,VENDIDO,,"+vistos, 0-20gr, 10IVA, 4-8gr, 50-64gr, AMAZON.AUMENTO.7.99, Avena, Carbohidratos, Comida Saludable, DECATHLON.AUMENTO.0.99, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo"
AL,8436540537492,618-1,Harina de avena 1 Kg Sabores Vitobest Chocolate,Vitobest,Avena / Arroz,"4,00",4,"16,00",30/04/2026,abr-2026,-1,VENDIDO,,"+vistos, 0 kg - 1 kg, 0-20gr, 10IVA, 4-8gr, 50-64gr, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, LOWCOST, Polvo"
AL,8425252200121,2501-5,Crema De Arroz 1 Kg Neutro,Max Protein,Avena / Arroz,"7,26",3,"21,78",30/04/2026,abr-2026,-1,VENDIDO,,"0 kg - 1 kg, 10IVA, 65-80gr, < 3 kg, Arroz, Carbohidratos, Comida Saludable, Con carbohidratos, Desayunos Fit, Fit Food, Ganar músculo, Harina de arroz, Harinas, Harinas y tortitas, Más Energía, Polvo, Recuperación"
AL,8594159539181,669-2,"RiceMash 1,5 Kg Galleta - Cacahuete",Amix Nutrition,Avena / Arroz,"11,42",1,"11,42",30/04/2026,abr-2026,-1,VENDIDO,,"1.01 kg - 2 kg, 10IVA, 65-80gr, < 3 kg, AMIX, Arroz, Carbohidratos, Comida Saludable, Con carbohidratos, Desayunos Fit, Fit Food, Ganar músculo, Harina de arroz, Harinas, Harinas y tortitas, MRPOPPERS, Más Energía, Polvo, Recuperación"
AL,8436622731916,2796-2,"Harina de avena Oatmeal 1,5 Kg Choco - Latte",Protella,Avena / Arroz,"6,93",3,"20,79",30/04/2026,abr-2026,-1,VENDIDO,,"0-20gr, 1.01 kg - 2 kg, 10IVA, 4-8gr, 50-64gr, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Destacados, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo"
AL,8436622731909,2796-1,"Harina de avena Oatmeal 1,5 Kg Black Cookie",Protella,Avena / Arroz,"6,93",1,"6,93",30/04/2026,abr-2026,-1,VENDIDO,,"0-20gr, 1.01 kg - 2 kg, 10IVA, 4-8gr, 50-64gr, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Destacados, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo"
AL,8436622731206,2796-3,"Harina de avena Oatmeal 1,5 Kg Cookie Dough",Protella,Avena / Arroz,"6,93",3,"20,79",30/04/2026,abr-2026,-1,VENDIDO,,"0-20gr, 1.01 kg - 2 kg, 10IVA, 4-8gr, 50-64gr, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Destacados, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo"
AL,8425402784532,1714-3,Harina de arroz instantánea 1 Kg Triple Chocolate,American Nutrition,Avena / Arroz,"3,39",4,"13,56",30/04/2026,abr-2026,-1,VENDIDO,,"0 kg - 1 kg, 10IVA, 65-80gr, < 3 kg, Arroz, Carbohidratos, Comida Saludable, Con carbohidratos, Desayunos Fit, Fit Food, Ganar músculo, Harina de arroz, Harinas, Harinas y tortitas, Más Energía, Polvo, Recuperación"
AL,8425402784556,1714-9,Harina de arroz instantánea 1 Kg Vainilla,American Nutrition,Avena / Arroz,"3,39",2,"6,78",30/04/2026,abr-2026,-1,VENDIDO,,#N/A
AL,8425402786000,2723-6,Crema de arroz American Nutrition 1 Kg Chocolate - Avellana,American Nutrition,Avena / Arroz,"5,67",1,"5,67",30/04/2026,abr-2026,-1,VENDIDO,,"0 kg - 1 kg, 10IVA, 65-80gr, < 3 kg, AMAZON.AUMENTO.5.99, Arroz, Carbohidratos, Comida Saludable, Con carbohidratos, Desayunos Fit, Fit Food, Ganar músculo, Harina de arroz, Harinas, Harinas y tortitas, Más Energía, Polvo, Recuperación"
AL,8425402785973,2723-10,Crema de arroz American Nutrition 1 Kg Triple Chocolate,American Nutrition,Avena / Arroz,"5,67",1,"5,67",30/04/2026,abr-2026,-1,VENDIDO,,"0 kg - 1 kg, 10IVA, 65-80gr, < 3 kg, AMAZON.AUMENTO.5.99, Arroz, Carbohidratos, Comida Saludable, Con carbohidratos, Desayunos Fit, Fit Food, Ganar músculo, Harina de arroz, Harinas, Harinas y tortitas, Más Energía, Polvo, Recuperación"
AL,8425402785980,2723-8,Crema de arroz American Nutrition 1 Kg Cookies,American Nutrition,Avena / Arroz,"5,67",1,"5,67",30/04/2026,abr-2026,-1,VENDIDO,,"0 kg - 1 kg, 10IVA, 65-80gr, < 3 kg, AMAZON.AUMENTO.5.99, Arroz, Carbohidratos, Comida Saludable, Con carbohidratos, Desayunos Fit, Fit Food, Ganar músculo, Harina de arroz, Harinas, Harinas y tortitas, Más Energía, Polvo, Recuperación"
AL,8425402785911,2723-1,Crema de arroz American Nutrition 1 Kg Chocolate,American Nutrition,Avena / Arroz,"5,67",1,"5,67",30/04/2026,abr-2026,-1,VENDIDO,,"0 kg - 1 kg, 10IVA, 65-80gr, < 3 kg, AMAZON.AUMENTO.5.99, Arroz, Carbohidratos, Comida Saludable, Con carbohidratos, Desayunos Fit, Fit Food, Ganar músculo, Harina de arroz, Harinas, Harinas y tortitas, Más Energía, Polvo, Recuperación"
AL,8422584015102,889-1,Copos de avena integrales suaves 1 Kg,El Granero,Comida Fitness,"1,75",32,"55,97",30/04/2026,abr-2026,-1,VENDIDO,,"0 kg - 1 kg, 04IVA, 10IVA, Alimentos orgánicos, Avena, Carbohidratos, Cereales BIO, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Masticable, Sin lactosa"
3C,8422584015102,889-1,Copos de avena integrales suaves 1 Kg,El Granero,Comida Fitness,"1,75",3,"5,25",30/04/2026,abr-2026,-1,VENDIDO,,"0 kg - 1 kg, 04IVA, 10IVA, Alimentos orgánicos, Avena, Carbohidratos, Cereales BIO, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Masticable, Sin lactosa"
AL,8436621083351,2353-1,Mc Mani Peanut Butter 1000 Gr,Max Protein,Comida Fitness,"8,79",5,"43,95",30/04/2026,abr-2026,-1,VENDIDO,,#N/A
AL,857401005574,1253-1,W74 Whey Core 2 Kg Café,Starlabs,Proteína,"43,38",1,"43,38",30/04/2026,abr-2026,-1,VENDIDO,,"0 % - 10 %, 1.01 kg - 2.50 kg, 10IVA, 15-24gr, 4-8gr, 70-74gr, 71-75gr, Concentrada, Ganar músculo, Polvo, Proteínas, Vitaminas / minerales"
3C,8436574980806,1253-6,W74 Whey Core 2 Kg Black Cookie,Starlabs,Proteína,"43,38",1,"43,38",30/04/2026,abr-2026,-1,VENDIDO,,"0 % - 10 %, 1.01 kg - 2.50 kg, 10IVA, 15-24gr, 4-8gr, 70-74gr, 71-75gr, Concentrada, Ganar músculo, Polvo, Proteínas, Vitaminas / minerales"
CL,8594060008479,2633-4,Iso HD 90 CFM Protein 500 Gr Moca,Amix Nutrition,Proteína,"16,25",1,"16,25",30/04/2026,abr-2026,-1,VENDIDO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 90-100gr, 91-100gr, Aislada, AMIX, AMIXPRO, Añadido extra de aminoácidos, Enzimas digestivas, Ganar músculo, Glutamina, Perder peso, Polvo, Probióticos, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
AL,8436574980653,1091-5,"i90 Isolac CFM 1,81 Kg Black Cookie",Starlabs,Proteína,"57,60",1,"57,60",30/04/2026,abr-2026,-1,VENDIDO,,"0-3gr, 0-4gr, 1.01 kg - 2.50 kg, 10IVA, 85-89gr, Aislada, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin gluten, Vitaminas / minerales"
AL,8436578410842,1552-5,Iso Zero 500 Gr Capuchino,WheyLand,Proteína,"15,68",1,"15,68",30/04/2026,abr-2026,-1,VENDIDO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Aislada, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin gluten"
AL,857401005239,1091-1,"i90 Isolac CFM 1,81 Kg Vainilla",Starlabs,Proteína,"57,60",1,"57,60",30/04/2026,abr-2026,-1,VENDIDO,,"0-3gr, 0-4gr, 1.01 kg - 2.50 kg, 10IVA, 85-89gr, Aislada, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin gluten, Vitaminas / minerales"
LR,5060469989105,167-13,"100% Whey Gold 2,27 Kg Menta - Chocolate",Optimum Nutrition,Proteína,"58,88",1,"58,88",30/04/2026,abr-2026,-1,VIGENTE,,"0-3gr, 0-4gr, 1.01 kg - 2.50 kg, 10IVA, 80-84gr, AMAZON.AUMENTO.3.99, AMERICANA, Combinada, Enzimas digestivas, Ganar músculo, Mixta (iso/concentrado), Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
AL,8425252203160,1853-10,Only Whey 1 kg Minidona White,BIG,Proteína,"29,59",1,"29,59",30/04/2026,abr-2026,-1,VENDIDO,,"0 kg - 1 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, 76-80gr, AMAZON.AUMENTO.5.99, BULEVIP.AUMENTO.7.99, Concentrada, DECATHLON.AUMENTO.7.99, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
AL,8425252201524,1849-17,Micellar Casein 1 Kg Honey Salted Peanuts,BIG,Proteína,"29,59",3,"88,77",30/04/2026,abr-2026,-1,VENDIDO,,"0 kg - 1 kg, 0-3gr, 10IVA, 5-9gr, 70-74gr, BULEVIP.AUMENTO.4.99, DECATHLON.AUMENTO.6.99, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Secuencial, Secuencial/caseína, Sin carbohidratos"
AL,8425252162375,1854-11,Only Whey 2 kg BigCrac,BIG,Proteína,"45,05",1,"45,05",30/04/2026,abr-2026,-1,VENDIDO,,"0 kg - 1 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, 76-80gr, Concentrada, DECATHLON.AUMENTO.1.99, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
3C,8436574980110,1859-6,"IsoJuice 1,36 Kg California Dreams",Starlabs,Proteína,"42,97",1,"42,97",30/04/2026,abr-2026,-1,VENDIDO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Aislada, Ganar músculo, Perder peso, Polvo, Proteínas, Recuperación, Sin carbohidratos"
CL,8436574980110,1859-6,"IsoJuice 1,36 Kg California Dreams",Starlabs,Proteína,"42,97",1,"42,97",30/04/2026,abr-2026,-1,VENDIDO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Aislada, Ganar músculo, Perder peso, Polvo, Proteínas, Recuperación, Sin carbohidratos"
AL,8436574980974,1859-5,"IsoJuice 1,36 Kg Mango",Starlabs,Proteína,"42,97",1,"42,97",30/04/2026,abr-2026,-1,VENDIDO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Aislada, Ganar músculo, Perder peso, Polvo, Proteínas, Recuperación, Sin carbohidratos"
LR,8436574980141,1859-7,"IsoJuice 1,36 Kg Plátano",Starlabs,Proteína,"42,97",1,"42,97",30/04/2026,abr-2026,-1,VIGENTE,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Aislada, Ganar músculo, Perder peso, Polvo, Proteínas, Recuperación, Sin carbohidratos"
3C,8436661602284,2022-4,"Multiphase Whey 4,4 Lb Vainilla - Canela",Bigman,Proteína,"41,16",1,"41,16",30/04/2026,abr-2026,-1,VENDIDO,,#N/A
AL,8422584091519,2737,Copos de Trigo Sarraceno Sin Gluten Bio 450 Gr,El Granero,Comida Fitness,"3,18",6,"19,07",30/04/2026,abr-2026,-1,VENDIDO,,"0 kg - 1 kg, 04IVA, 10IVA, Alimentos orgánicos, Carbohidratos, Cereales BIO, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Masticable, Sin gluten, Sin lactosa, Trigo Sarraceno"
CL,8436578411108,1518-11,Iso Zero 2 Kg Cookie Toffee,WheyLand,Proteína,"57,20",1,"57,20",30/04/2026,abr-2026,-1,VENDIDO,,"0-3gr, 0-4gr, 1.01 kg - 2.50 kg, 10IVA, 85-89gr, Aislada, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin gluten"
LR,8436567350043,2783-1,Endurance Bar Choco Bits 60 Gr,226ERS,Barritas & Snacks,"1,69",6,"10,14",30/04/2026,abr-2026,-1,VENDIDO,,
AL,8436567356052,2686-2,High Energy Gel Salty 76 Gr Peanut & Honey,226ERS,Preentreno / Precursores,"2,11",68,"143,62",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Ciclodextrina, Con carbohidratos, Endurance, Energizantes, Gel, Maltodextrina, Más Energía, Pre-Entrenos, Recuperación, Sin cafeína, Sin estimulantes, Sodio"
AL,8436609600778,2021-2,Bcaa + Electrolytes 300 Gr Melocotón,Bigman,Aminoácidos,"9,00",2,"18,00",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Aminoácidos, Bcaa, Calcio, Endurance, Ganar músculo, Magnesio, Minerales, Perder peso, Polvo, Potasio, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos, Sodio, Zinc"
AL,8436594151231,1569-2,Whey Amino Complex 2 Kg Vainilla,Vitobest,Proteína,"31,21",1,"31,21",30/04/2026,abr-2026,-1,VENDIDO,,"1.01 kg - 2.50 kg, 10IVA, 4-8gr, 5-9gr, 70-74gr, Añadido extra de aminoácidos, Concentrada, Destacados, Enzimas digestivas, Ganar músculo, LOWCOST, Polvo, Proteínas, Vitobest"
CL,8422584091441,1243,Granola con Chocolate y Coco Sin Gluten Bio 350 gr,El Granero,Comida Fitness,"3,11",3,"9,34",02/05/2026,may-2026,1,VENDIDO,1,"0-20gr, 04IVA, 10IVA, 4-8gr, 65-80gr, Alimentos orgánicos, Avena, Carbohidratos, Cereales BIO, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Masticable, Más Energía, Sin gluten"
CL,5999100029460,1582,Carni Complex 60 Caps,Scitec Nutrition,Control y Pérdida de peso,"10,37",1,"10,37",02/05/2026,may-2026,1,VENDIDO,,#N/A
